0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:28:01 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:28:01 +0900] "GET /setp01_HTMLCS/HTML/ex_03_tableTag.html HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:28:25 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:28:25 +0900] "GET /setp01_HTMLCS/HTML/ex_03_tableTag.html HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:28:26 +0900] "GET /setp01_HTMLCS/HTML/ex02_aTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:28:29 +0900] "GET /setp01_HTMLCS/HTML/ex_03_tableTag.html HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:28:36 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:28:36 +0900] "GET /setp01_HTMLCS/HTML/ex_03_tableTag.html HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:29:16 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:29:47 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:29:58 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:30:04 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:30:21 +0900] "GET /setp01_HTMLCS/HTML/ex06_iframe.html HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:30:21 +0900] "GET /setp01_HTMLCS/HTML/ex05_formTag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:27:25 +0900] "GET /setp01_HTMLCS/CSS/ex01_CSS_Inline.html HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:30:08 +0900] "GET /setp01_HTMLCS/CSS/ex01_CSS_Inline.html HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:35:23 +0900] "GET /setp01_HTMLCS/CSS/ex02_CSSExternal.html HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:36:04 +0900] "GET /setp01_HTMLCS/CSS/ex02_CSSExternal.html HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:38:07 +0900] "GET /setp01_HTMLCS/CSS/ex02_CSSExternal.html HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:39:19 +0900] "GET /setp01_HTMLCS/CSS/ex02_CSSExternal.html HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:39:45 +0900] "GET /setp01_HTMLCS/CSS/ex02_CSSExternal.html HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:44:50 +0900] "GET /setp01_HTMLCS/CSS/ex02_CSSExternal.html HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:44:55 +0900] "GET /setp01_HTMLCS/CSS/ex02_CSSExternal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:45:08 +0900] "GET /setp01_HTMLCS/CSS/ex02_CSSExternal.html HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [22/Apr/2019:16:45:19 +0900] "GET /setp01_HTMLCS/CSS/ex02_CSSExternal.html HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [22/Apr/2019:17:08:19 +0900] "GET /setp01_HTMLCS/CSS/ex02_CSSExternal.html HTTP/1.1" 200 1692
0:0:0:0:0:0:0:1 - - [22/Apr/2019:17:08:39 +0900] "GET /setp01_HTMLCS/CSS/ex02_CSSExternal.html HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [22/Apr/2019:17:09:50 +0900] "GET /setp01_HTMLCS/CSS/ex02_CSSExternal.html HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [22/Apr/2019:17:19:29 +0900] "GET /setp01_HTMLCS/CSS/ex03_CSSExternal.html HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [22/Apr/2019:17:22:29 +0900] "GET /setp01_HTMLCS/CSS/ex03_CSSExternal.html HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [22/Apr/2019:17:22:29 +0900] "GET /setp01_HTMLCS/CSS/basic.css HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [22/Apr/2019:17:23:34 +0900] "GET /setp01_HTMLCS/CSS/ex03_CSSExternal.html HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [22/Apr/2019:17:23:34 +0900] "GET /setp01_HTMLCS/CSS/basic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:17:23:52 +0900] "GET /setp01_HTMLCS/CSS/ex03_CSSExternal.html HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [22/Apr/2019:17:23:52 +0900] "GET /setp01_HTMLCS/CSS/basic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:17:24:05 +0900] "GET /setp01_HTMLCS/CSS/ex03_CSSExternal.html HTTP/1.1" 200 1174
